timestamp,true_x,true_y,pred_x,pred_y,dist_error
1769459780.2608538,1.000017762184143,-6.502659320831299,-0.17029306292533875,-6.614439964294434,1.1756370067596436
1769459780.280771,1.000040054321289,-6.502251148223877,-0.17031022906303406,-6.614541053771973,1.175724744796753
1769459780.3009024,1.0000708103179932,-6.500354290008545,0.3515186607837677,-6.601052284240723,0.6563231348991394
1769459780.320861,1.0001475811004639,-6.495975494384766,0.45522022247314453,-6.597466468811035,0.554297924041748
1769459780.3408344,1.00033438205719,-6.490144729614258,0.456206351518631,-6.5976691246032715,0.5546501278877258
1769459780.3607826,1.000670075416565,-6.482545375823975,0.6239737272262573,-6.597870826721191,0.39395439624786377
1769459780.3812099,1.0009922981262207,-6.476509094238281,0.6252506375312805,-6.597996234893799,0.394893616437912
1769459780.4008143,1.0014796257019043,-6.468496799468994,0.798794150352478,-6.587350368499756,0.23496311902999878
1769459780.420866,1.0020002126693726,-6.460803985595703,0.8003497123718262,-6.587457656860352,0.23812611401081085
1769459780.4407156,1.0024027824401855,-6.455254077911377,0.9266742467880249,-6.581605911254883,0.1473076045513153
1769459780.4609225,1.002734899520874,-6.450871467590332,0.9285151958465576,-6.581622123718262,0.15034721791744232
1769459780.4808445,1.0040363073349,-6.434900760650635,1.044241189956665,-6.5748515129089355,0.14561130106449127
1769459780.5007715,1.0051324367523193,-6.4224748611450195,1.0463566780090332,-6.574947357177734,0.15794703364372253
1769459780.5207906,1.0063875913619995,-6.409022808074951,1.0668283700942993,-6.563346862792969,0.16573767364025116
1769459780.5409408,1.008243441581726,-6.390214920043945,1.0689997673034668,-6.563445568084717,0.1835758239030838
1769459780.5610673,1.010897159576416,-6.3649091720581055,1.1495397090911865,-6.557278156280518,0.2371234893798828
1769459780.5812705,1.0119709968566895,-6.355072021484375,1.1520918607711792,-6.557223320007324,0.2459651231765747
1769459780.6012704,1.014919400215149,-6.328991889953613,1.168969988822937,-6.542239189147949,0.26307034492492676
1769459780.6209285,1.0172146558761597,-6.3094658851623535,1.171492099761963,-6.542176723480225,0.2792057991027832
1769459780.6407912,1.019707202911377,-6.288888931274414,1.1740407943725586,-6.542107105255127,0.2965439260005951
1769459780.6607704,1.0236234664916992,-6.25766134262085,1.3463934659957886,-6.528101444244385,0.42109182476997375
1769459780.6808038,1.026181936264038,-6.237885475158691,1.3233698606491089,-6.503793716430664,0.3987830579280853
1769459780.700795,1.0298466682434082,-6.210299968719482,1.326703667640686,-6.50350284576416,0.41724345088005066
1769459780.7207968,1.0343291759490967,-6.177595615386963,1.3761537075042725,-6.475766181945801,0.4535965621471405
1769459780.7407737,1.0392093658447266,-6.1431145668029785,1.3797931671142578,-6.475292205810547,0.4757511615753174
1769459780.7607954,1.0445055961608887,-6.106849193572998,1.353057622909546,-6.443414688110352,0.4565966725349426
1769459780.7807984,1.0489248037338257,-6.077404975891113,1.3401503562927246,-6.4050374031066895,0.43835538625717163
1769459780.8007898,1.0529289245605469,-6.051301956176758,1.343459963798523,-6.4039812088012695,0.4569365680217743
1769459780.8207686,1.0550079345703125,-6.037950038909912,1.3355306386947632,-6.36184024810791,0.428483247756958
1769459780.840943,1.0585891008377075,-6.015252113342285,1.3387776613235474,-6.360413074493408,0.4445691704750061
1769459780.860789,1.0615607500076294,-5.996692657470703,1.3212944269180298,-6.333341598510742,0.42519888281822205
1769459780.8807685,1.0677965879440308,-5.958500862121582,1.3243077993392944,-6.331727504730225,0.4528755247592926
1769459780.9014685,1.0744353532791138,-5.918876647949219,1.2950409650802612,-6.30058479309082,0.4408721625804901
1769459780.920783,1.084249496459961,-5.862048625946045,1.2976317405700684,-6.298777103424072,0.48607006669044495
1769459780.9413166,1.09092378616333,-5.82446813583374,1.2653248310089111,-6.261737823486328,0.47076576948165894
1769459780.9608722,1.0989757776260376,-5.780167579650879,1.2676831483840942,-6.2594733238220215,0.5081300139427185
1769459780.980906,1.1085917949676514,-5.728602409362793,1.248241901397705,-6.21355676651001,0.5046612024307251
1769459781.000826,1.1176300048828125,-5.681232452392578,1.2503718137741089,-6.210824966430664,0.5459747314453125
1769459781.0210807,1.1247122287750244,-5.644760608673096,1.2525379657745361,-6.208048343658447,0.5776094198226929
1769459781.0409954,1.1333128213882446,-5.601189136505127,1.223103404045105,-6.162022113800049,0.5679749846458435
1769459781.0611646,1.1422889232635498,-5.556523323059082,1.2032796144485474,-6.139215469360352,0.5858756303787231
1769459781.0809615,1.147591233253479,-5.5305094718933105,1.2048557996749878,-6.135725498199463,0.6079190373420715
1769459781.100953,1.1530219316482544,-5.504140377044678,1.2102575302124023,-6.093233585357666,0.591867208480835
1769459781.1212666,1.167160153388977,-5.436665058135986,1.21184241771698,-6.089285850524902,0.6541486978530884
1769459781.141257,1.176015853881836,-5.3951215744018555,1.222800612449646,-6.030491352081299,0.6370898485183716
1769459781.16087,1.1898263692855835,-5.331332206726074,1.2244632244110107,-6.025971412658691,0.6955022215843201
1769459781.1809375,1.2026499509811401,-5.273159503936768,1.2182910442352295,-5.965760707855225,0.6927778720855713
1769459781.201106,1.2126158475875854,-5.228630065917969,1.2199152708053589,-5.9603962898254395,0.7318027019500732
1769459781.2209766,1.2263731956481934,-5.168064117431641,1.2288209199905396,-5.8971710205078125,0.729110836982727
1769459781.2407856,1.2388594150543213,-5.11405086517334,1.2305117845535278,-5.891141891479492,0.7771357297897339
1769459781.2609382,1.249902367591858,-5.067289352416992,1.253964900970459,-5.841338157653809,0.7740592956542969
