Frame,FPS,IoU,CenterError,GT_Occluded
1,142.83634996562643,1.0,0.0,False
2,152.3439719699279,0.9714285714285714,1.0,False
3,152.47942213958515,1.0,0.0,False
4,128.08965045871466,1.0,0.0,False
5,145.54617073846634,0.9501429025087329,1.4142135623730951,False
6,148.49695098635388,1.0,0.0,False
7,149.02485585570818,0.9501429025087329,1.4142135623730951,False
8,149.0340062814853,0.9333544403989236,2.0615528128088303,False
9,147.231950982361,0.9333544403989236,2.0615528128088303,False
10,147.06665266592134,0.9333544403989236,2.0615528128088303,False
11,146.29066844009967,0.9333544403989236,2.0615528128088303,False
12,145.75338760023462,0.9333544403989236,2.0615528128088303,False
13,145.69745224693153,0.9472851036884598,1.5811388300841898,False
14,148.06847633984202,0.9747953122491572,0.7071067811865476,False
15,130.4649483737153,0.9400250548073912,1.8027756377319946,False
16,152.77512967553008,0.9612157669779959,1.118033988749895,False
17,153.55781950967452,0.9265465935787001,2.1213203435596424,False
18,148.27746806733518,0.9531597332486503,1.5811388300841898,False
19,131.7338386292093,0.9472851036884598,1.5811388300841898,False
20,149.19616834400458,0.9747953122491572,0.7071067811865476,False
21,151.88056234081967,0.9747953122491572,0.7071067811865476,False
22,134.80182850592257,0.9747953122491572,0.7071067811865476,False
23,145.04361316404228,0.9265465935787001,2.1213203435596424,False
24,148.63783825884448,0.9747953122491572,0.7071067811865476,False
25,148.04631421675433,0.9161836127212909,2.5,False
26,148.95570876477734,0.9038639876352396,2.8284271247461903,False
27,150.9781496872865,0.9138927957493358,2.5,False
28,148.68278943186522,0.929329741720805,2.23606797749979,False
29,151.839881807836,0.9036898061288305,2.23606797749979,False
30,154.6048593544134,0.8934772407320507,2.5,False
31,155.89045328422992,0.8832550860719874,2.23606797749979,False
32,154.99233407915645,0.8702660406885759,2.5,False
33,149.7987304257999,0.8843774781919111,1.5811388300841898,False
34,147.42243663341407,0.8843774781919111,2.1213203435596424,False
35,153.4034786079616,0.8572769953051643,3.1622776601683795,False
36,154.51701919982125,0.8817187252259394,2.23606797749979,False
37,153.03607504093333,0.8817187252259394,2.23606797749979,False
38,153.10390610933578,0.8601847502739941,2.5495097567963922,False
39,148.69585556398332,0.8843774781919111,2.1213203435596424,False
40,147.47648561175163,0.8843774781919111,1.5811388300841898,False
41,149.83109540614865,0.8852459016393442,2.23606797749979,False
42,149.62471129911955,0.8610185625892433,2.8284271247461903,False
43,151.37909382052374,0.8610185625892433,3.605551275463989,False
44,155.79092795152533,0.8500939849624061,2.692582403567252,False
