Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
OCC,YOLOv8-NCNN+CSRT-90,16.7013,16.9141,0.5389,0.7862,0.6169,8
OCC,CSRT,21.0842,20.3697,0.3946,0.6805,0.3431,8
OCC,YOLOv8-NCNN+KCF-15,328.783,418.6806,0.4653,0.6012,0.5558,8
OCC,YOLOv8-NCNN+KCF-30,285.4342,405.0468,0.4591,0.5951,0.559,8
OCC,YOLOv8-NCNN+MEDIANFLOW-15,267.5467,265.1951,0.4368,0.5638,0.518,8
OCC,YOLOv8-NCNN+MOSSE-15,1648.8444,2268.1425,0.3684,0.452,0.4498,8
OCC,YOLOv8-NCNN+MOSSE-30,1600.6411,2336.8843,0.3589,0.4313,0.4413,8
OCC,KCF,746.6034,429.7088,0.1435,0.2307,0.1496,8
