Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
SV,YOLOv8-NCNN+KCF-15,255.6328,277.5749,0.7317,0.9012,0.8635,10
SV,YOLOv8-NCNN+MEDIANFLOW-15,264.376,265.5935,0.7437,0.8918,0.8613,10
SV,YOLOv8-NCNN+KCF-30,245.7156,267.8302,0.7094,0.8894,0.8552,10
SV,YOLOv8-NCNN+CSRT-90,21.7129,21.8925,0.6622,0.8826,0.7822,10
SV,YOLOv8-NCNN+MOSSE-15,1484.1268,1563.8646,0.7221,0.8678,0.8565,10
SV,YOLOv8-NCNN+MOSSE-30,1559.2858,1655.798,0.7133,0.8652,0.854,10
SV,CSRT,39.758,24.0536,0.3525,0.5041,0.3717,10
SV,KCF,739.4484,367.3459,0.1365,0.2265,0.1002,10
