Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
FM,YOLOv8-NCNN+CSRT-90,23.5331,25.6828,0.5485,0.8517,0.6735,7
FM,YOLOv8-NCNN+MEDIANFLOW-15,265.7201,262.8458,0.5949,0.7708,0.7176,7
FM,YOLOv8-NCNN+KCF-30,319.4563,472.526,0.5261,0.7518,0.6607,7
FM,YOLOv8-NCNN+MOSSE-30,1974.1188,1596.6423,0.5243,0.7281,0.6467,7
FM,CSRT,48.5539,28.5674,0.2988,0.5103,0.3373,7
FM,KCF,1811.372,909.6829,0.0278,0.0402,0.0362,7
