Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
CM,YOLOv8-NCNN+KCF-15,225.8558,249.1957,0.7527,0.9399,0.8704,10
CM,YOLOv8-NCNN+KCF-30,216.7917,240.2149,0.7475,0.9387,0.8654,10
CM,YOLOv8-NCNN+MEDIANFLOW-15,266.0088,266.9957,0.7536,0.937,0.8664,10
CM,YOLOv8-NCNN+MOSSE-15,1639.4083,1703.3507,0.7231,0.9331,0.8817,10
CM,YOLOv8-NCNN+MOSSE-30,1778.8604,1856.8924,0.7166,0.9322,0.8776,10
CM,YOLOv8-NCNN+CSRT-90,22.2757,22.484,0.7233,0.9306,0.8528,10
CM,CSRT,32.9385,22.3864,0.5418,0.7579,0.6483,10
CM,KCF,258.8855,156.0094,0.2664,0.4134,0.1738,10
