Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
MO,YOLOv8-NCNN+CSRT-90,18.4971,20.5914,0.5166,0.8102,0.6001,8
MO,CSRT,27.9259,24.2979,0.4282,0.7314,0.4258,8
MO,YOLOv8-NCNN+KCF-15,389.1475,636.7494,0.3245,0.5002,0.3793,8
MO,YOLOv8-NCNN+KCF-30,377.7302,629.4184,0.3235,0.495,0.3825,8
MO,YOLOv8-NCNN+MEDIANFLOW-15,269.9367,265.7402,0.3132,0.4772,0.3659,8
MO,YOLOv8-NCNN+MOSSE-30,1639.1281,2033.9205,0.2203,0.3248,0.2684,8
MO,YOLOv8-NCNN+MOSSE-15,1598.3311,1914.6684,0.2069,0.3218,0.2545,8
MO,KCF,1330.2519,750.7663,0.1165,0.1918,0.1219,8
