Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
BO,YOLOv8-NCNN+KCF-15,78.9533,68.7774,0.7706,0.8388,0.868,2
BO,YOLOv8-NCNN+CSRT-90,20.2502,20.2502,0.7822,0.8225,0.882,2
BO,YOLOv8-NCNN+MOSSE-30,983.8351,983.8351,0.798,0.8106,0.9166,2
BO,YOLOv8-NCNN+MEDIANFLOW-15,268.8064,268.2401,0.7608,0.8009,0.8474,2
BO,YOLOv8-NCNN+KCF-30,84.7804,75.7397,0.7482,0.7976,0.8658,2
BO,YOLOv8-NCNN+MOSSE-15,917.1248,877.8486,0.744,0.7966,0.8582,2
BO,CSRT,24.1788,21.4511,0.5185,0.5065,0.5595,2
BO,KCF,17.573,14.574,0.2669,0.4362,0.2397,2
